Version;Date_of_report;Date_of_statistics_week_start;Variant_code;Variant_name;ECDC_category;WHO_category;Is_subvariant_of;Sample_size;Variant_cases
4;2022-08-30 00:33:11;2021-03-01;BA.2.12.1;Omicron;VOI;VOC-LUM;BA.2+S:L452X;1515;0
4;2022-08-30 00:33:11;2021-03-01;BA.3;Omicron;VUM;;B.1.1.529;1515;0
4;2022-08-30 00:33:11;2021-03-01;B.1.617.2;Delta;DEV;;;1515;0
4;2022-08-30 00:33:11;2021-03-01;B.1.351;Beta;DEV;;;1515;24
4;2022-08-30 00:33:11;2021-03-01;P.1;Gamma;DEV;;;1515;10
4;2022-08-30 00:33:11;2021-03-01;B.1.1.7;Alpha;DEV;;;1515;1271
4;2022-08-30 00:33:11;2021-03-01;B.1.621;Mu;DEV;;;1515;0
4;2022-08-30 00:33:11;2021-03-01;C.37;Lambda;DEV;;;1515;0
4;2022-08-30 00:33:11;2021-03-08;B.1.1.529;Omicron;;VOC;;1974;0
4;2022-08-30 00:33:11;2021-03-08;BA.1;Omicron;VOC;;B.1.1.529;1974;0
4;2022-08-30 00:33:11;2021-03-08;BA.2;Omicron;VOC;;B.1.1.529;1974;0
4;2022-08-30 00:33:11;2021-03-08;BA.4;Omicron;VOC;VOC-LUM;B.1.1.529;1974;0
4;2022-08-30 00:33:11;2021-03-08;BA.5;Omicron;VOC;VOC-LUM;B.1.1.529;1974;0
4;2022-08-30 00:33:11;2021-03-08;BA.2.75;Omicron;VOI;VOC-LUM;BA.2;1974;0
4;2022-08-30 00:33:11;2021-03-08;BA.2+S:L452X;Omicron;VOI;;BA.2;1974;0
4;2022-08-30 00:33:11;2021-03-08;BA.2.12.1;Omicron;VOI;VOC-LUM;BA.2+S:L452X;1974;0
4;2022-08-30 00:33:11;2021-03-08;BA.3;Omicron;VUM;;B.1.1.529;1974;0
4;2022-08-30 00:33:11;2021-03-08;B.1.617.2;Delta;DEV;;;1974;0
4;2022-08-30 00:33:11;2021-03-08;B.1.351;Beta;DEV;;;1974;56
4;2022-08-30 00:33:11;2021-03-08;P.1;Gamma;DEV;;;1974;13
4;2022-08-30 00:33:11;2021-03-08;B.1.1.7;Alpha;DEV;;;1974;1729
4;2022-08-30 00:33:11;2021-03-08;B.1.621;Mu;DEV;;;1974;0
4;2022-08-30 00:33:11;2021-03-08;C.37;Lambda;DEV;;;1974;0
4;2022-08-30 00:33:11;2021-03-15;B.1.1.529;Omicron;;VOC;;1563;0
4;2022-08-30 00:33:11;2021-03-15;BA.1;Omicron;VOC;;B.1.1.529;1563;0
4;2022-08-30 00:33:11;2021-03-15;BA.2;Omicron;VOC;;B.1.1.529;1563;0
4;2022-08-30 00:33:11;2021-03-15;BA.4;Omicron;VOC;VOC-LUM;B.1.1.529;1563;0
4;2022-08-30 00:33:11;2021-03-15;BA.5;Omicron;VOC;VOC-LUM;B.1.1.529;1563;0
4;2022-08-30 00:33:11;2021-03-15;BA.2.75;Omicron;VOI;VOC-LUM;BA.2;1563;0
4;2022-08-30 00:33:11;2021-03-15;BA.2+S:L452X;Omicron;VOI;;BA.2;1563;0
4;2022-08-30 00:33:11;2021-03-15;BA.2.12.1;Omicron;VOI;VOC-LUM;BA.2+S:L452X;1563;0
4;2022-08-30 00:33:11;2021-03-15;BA.3;Omicron;VUM;;B.1.1.529;1563;0
4;2022-08-30 00:33:11;2021-03-15;B.1.617.2;Delta;DEV;;;1563;0
4;2022-08-30 00:33:11;2021-03-15;B.1.351;Beta;DEV;;;1563;55
4;2022-08-30 00:33:11;2021-03-15;P.1;Gamma;DEV;;;1563;23
4;2022-08-30 00:33:11;2021-03-15;B.1.1.7;Alpha;DEV;;;1563;1400
4;2022-08-30 00:33:11;2021-03-15;B.1.621;Mu;DEV;;;1563;0
4;2022-08-30 00:33:11;2021-03-15;C.37;Lambda;DEV;;;1563;0
4;2022-08-30 00:33:11;2021-03-22;B.1.1.529;Omicron;;VOC;;1601;0
4;2022-08-30 00:33:11;2021-03-22;BA.1;Omicron;VOC;;B.1.1.529;1601;0
4;2022-08-30 00:33:11;2021-03-22;BA.2;Omicron;VOC;;B.1.1.529;1601;0
4;2022-08-30 00:33:11;2021-03-22;BA.4;Omicron;VOC;VOC-LUM;B.1.1.529;1601;0
