Version;Date_of_report;Date_of_statistics;Security_region_code;Security_region_name;Tested_with_result;Tested_positive
2;2022-03-15 09:00:00;2021-01-19;VR01;Groningen;1630;142
2;2022-03-15 09:00:00;2021-01-20;VR01;Groningen;1654;160
2;2022-03-15 09:00:00;2021-01-21;VR01;Groningen;1591;141
2;2022-03-15 09:00:00;2021-01-22;VR01;Groningen;1374;115
2;2022-03-15 09:00:00;2021-01-23;VR01;Groningen;1052;68
2;2022-03-15 09:00:00;2021-01-24;VR01;Groningen;818;58
2;2022-03-15 09:00:00;2021-01-25;VR01;Groningen;1668;141
2;2022-03-15 09:00:00;2021-01-26;VR01;Groningen;1225;108
2;2022-03-15 09:00:00;2021-01-27;VR01;Groningen;1212;78
2;2022-03-15 09:00:00;2021-01-28;VR01;Groningen;1091;85
2;2022-03-15 09:00:00;2021-01-29;VR01;Groningen;937;79
2;2022-03-15 09:00:00;2021-01-30;VR01;Groningen;671;55
2;2022-03-15 09:00:00;2021-01-31;VR01;Groningen;573;60
2;2022-03-15 09:00:00;2021-02-01;VR01;Groningen;1219;125
2;2022-03-15 09:00:00;2021-02-02;VR01;Groningen;1138;91
2;2022-03-15 09:00:00;2021-02-03;VR01;Groningen;1298;92
2;2022-03-15 09:00:00;2021-02-04;VR01;Groningen;1198;95
2;2022-03-15 09:00:00;2021-02-05;VR01;Groningen;1141;115
2;2022-03-15 09:00:00;2021-02-06;VR01;Groningen;868;64
2;2022-03-15 09:00:00;2021-02-07;VR01;Groningen;1;0
2;2022-03-15 09:00:00;2021-02-08;VR01;Groningen;1163;126
2;2022-03-15 09:00:00;2021-02-09;VR01;Groningen;1351;179
2;2022-03-15 09:00:00;2021-02-10;VR01;Groningen;1294;124
2;2022-03-15 09:00:00;2021-02-11;VR01;Groningen;1235;128
2;2022-03-15 09:00:00;2021-02-12;VR01;Groningen;1075;93
2;2022-03-15 09:00:00;2021-02-13;VR01;Groningen;751;71
2;2022-03-15 09:00:00;2021-02-14;VR01;Groningen;748;73
2;2022-03-15 09:00:00;2021-02-15;VR01;Groningen;559;60
2;2022-03-15 09:00:00;2021-02-16;VR01;Groningen;2300;238
2;2022-03-15 09:00:00;2021-02-17;VR01;Groningen;1825;156
2;2022-03-15 09:00:00;2021-02-18;VR01;Groningen;1894;173
2;2022-03-15 09:00:00;2021-02-19;VR01;Groningen;1668;153
2;2022-03-15 09:00:00;2021-02-20;VR01;Groningen;1129;90
2;2022-03-15 09:00:00;2021-02-21;VR01;Groningen;1135;113
2;2022-03-15 09:00:00;2021-02-22;VR01;Groningen;1954;187
2;2022-03-15 09:00:00;2021-02-23;VR01;Groningen;1697;133
2;2022-03-15 09:00:00;2021-02-24;VR01;Groningen;2267;148
2;2022-03-15 09:00:00;2021-02-25;VR01;Groningen;1942;121
2;2022-03-15 09:00:00;2021-02-26;VR01;Groningen;1852;128
2;2022-03-15 09:00:00;2021-02-27;VR01;Groningen;1379;88
2;2022-03-15 09:00:00;2021-02-28;VR01;Groningen;1259;96
2;2022-03-15 09:00:00;2021-03-01;VR01;Groningen;2160;140
2;2022-03-15 09:00:00;2021-03-02;VR01;Groningen;2018;159
2;2022-03-15 09:00:00;2021-03-03;VR01;Groningen;1987;124
2;2022-03-15 09:00:00;2021-03-04;VR01;Groningen;2049;104
2;2022-03-15 09:00:00;2021-03-05;VR01;Groningen;1913;106
2;2022-03-15 09:00:00;2021-03-06;VR01;Groningen;1415;64
2;2022-03-15 09:00:00;2021-03-07;VR01;Groningen;1416;61
2;2022-03-15 09:00:00;2021-03-08;VR01;Groningen;2495;144
2;2022-03-15 09:00:00;2021-03-09;VR01;Groningen;2366;134
2;2022-03-15 09:00:00;2021-03-10;VR01;Groningen;2405;168
2;2022-03-15 09:00:00;2021-03-11;VR01;Groningen;2210;119
2;2022-03-15 09:00:00;2021-03-12;VR01;Groningen;2088;123
2;2022-03-15 09:00:00;2021-03-13;VR01;Groningen;1633;89
2;2022-03-15 09:00:00;2021-03-14;VR01;Groningen;1617;103
2;2022-03-15 09:00:00;2021-03-15;VR01;Groningen;2989;186
2;2022-03-15 09:00:00;2021-03-16;VR01;Groningen;2433;151
2;2022-03-15 09:00:00;2021-03-17;VR01;Groningen;2385;167
2;2022-03-15 09:00:00;2021-03-18;VR01;Groningen;2403;159
2;2022-03-15 09:00:00;2021-03-19;VR01;Groningen;2162;123
2;2022-03-15 09:00:00;2021-03-20;VR01;Groningen;1561;77
2;2022-03-15 09:00:00;2021-03-21;VR01;Groningen;1744;93
2;2022-03-15 09:00:00;2021-03-22;VR01;Groningen;2950;173
2;2022-03-15 09:00:00;2021-03-23;VR01;Groningen;2771;150
2;2022-03-15 09:00:00;2021-03-24;VR01;Groningen;2881;178
2;2022-03-15 09:00:00;2021-03-25;VR01;Groningen;2418;141
2;2022-03-15 09:00:00;2021-03-26;VR01;Groningen;2328;168
2;2022-03-15 09:00:00;2021-03-27;VR01;Groningen;1739;109
2;2022-03-15 09:00:00;2021-03-28;VR01;Groningen;1718;116
2;2022-03-15 09:00:00;2021-03-29;VR01;Groningen;2923;167
2;2022-03-15 09:00:00;2021-03-30;VR01;Groningen;2616;159
2;2022-03-15 09:00:00;2021-03-31;VR01;Groningen;2443;138
2;2022-03-15 09:00:00;2021-04-01;VR01;Groningen;2117;106
2;2022-03-15 09:00:00;2021-04-02;VR01;Groningen;2156;120
2;2022-03-15 09:00:00;2021-04-03;VR01;Groningen;1736;80
2;2022-03-15 09:00:00;2021-04-04;VR01;Groningen;1545;82
2;2022-03-15 09:00:00;2021-04-05;VR01;Groningen;2057;125
2;2022-03-15 09:00:00;2021-04-06;VR01;Groningen;2863;146
2;2022-03-15 09:00:00;2021-04-07;VR01;Groningen;2630;133
2;2022-03-15 09:00:00;2021-04-08;VR01;Groningen;2384;131
2;2022-03-15 09:00:00;2021-04-09;VR01;Groningen;2126;139
2;2022-03-15 09:00:00;2021-04-10;VR01;Groningen;1681;107
2;2022-03-15 09:00:00;2021-04-11;VR01;Groningen;1930;116
2;2022-03-15 09:00:00;2021-04-12;VR01;Groningen;2711;149
2;2022-03-15 09:00:00;2021-04-13;VR01;Groningen;2489;142
2;2022-03-15 09:00:00;2021-04-14;VR01;Groningen;2621;159
2;2022-03-15 09:00:00;2021-04-15;VR01;Groningen;2249;128
2;2022-03-15 09:00:00;2021-04-16;VR01;Groningen;2266;133
2;2022-03-15 09:00:00;2021-04-17;VR01;Groningen;1667;123
2;2022-03-15 09:00:00;2021-04-18;VR01;Groningen;1889;122
2;2022-03-15 09:00:00;2021-04-19;VR01;Groningen;2883;175
2;2022-03-15 09:00:00;2021-04-20;VR01;Groningen;2657;189
2;2022-03-15 09:00:00;2021-04-21;VR01;Groningen;2696;193
2;2022-03-15 09:00:00;2021-04-22;VR01;Groningen;2494;161
2;2022-03-15 09:00:00;2021-04-23;VR01;Groningen;2273;157
2;2022-03-15 09:00:00;2021-04-24;VR01;Groningen;1743;94
2;2022-03-15 09:00:00;2021-04-25;VR01;Groningen;1768;126
2;2022-03-15 09:00:00;2021-04-26;VR01;Groningen;2497;181
2;2022-03-15 09:00:00;2021-04-27;VR01;Groningen;1901;137
2;2022-03-15 09:00:00;2021-04-28;VR01;Groningen;2212;142
2;2022-03-15 09:00:00;2021-04-29;VR01;Groningen;2327;134
2;2022-03-15 09:00:00;2021-04-30;VR01;Groningen;2390;167
2;2022-03-15 09:00:00;2021-05-01;VR01;Groningen;1678;100
2;2022-03-15 09:00:00;2021-05-02;VR01;Groningen;1708;90
2;2022-03-15 09:00:00;2021-05-03;VR01;Groningen;2280;124
2;2022-03-15 09:00:00;2021-05-04;VR01;Groningen;1996;118
2;2022-03-15 09:00:00;2021-05-05;VR01;Groningen;1980;169
2;2022-03-15 09:00:00;2021-05-06;VR01;Groningen;1843;122
2;2022-03-15 09:00:00;2021-05-07;VR01;Groningen;1802;110
2;2022-03-15 09:00:00;2021-05-08;VR01;Groningen;1478;82
2;2022-03-15 09:00:00;2021-05-09;VR01;Groningen;1365;86
2;2022-03-15 09:00:00;2021-05-10;VR01;Groningen;1906;134
2;2022-03-15 09:00:00;2021-05-11;VR01;Groningen;1777;115
2;2022-03-15 09:00:00;2021-05-12;VR01;Groningen;1654;123
2;2022-03-15 09:00:00;2021-05-13;VR01;Groningen;1450;111
2;2022-03-15 09:00:00;2021-05-14;VR01;Groningen;1447;80
2;2022-03-15 09:00:00;2021-05-15;VR01;Groningen;1390;78
2;2022-03-15 09:00:00;2021-05-16;VR01;Groningen;1363;81
2;2022-03-15 09:00:00;2021-05-17;VR01;Groningen;2157;106
2;2022-03-15 09:00:00;2021-05-18;VR01;Groningen;1704;106
2;2022-03-15 09:00:00;2021-05-19;VR01;Groningen;1601;88
2;2022-03-15 09:00:00;2021-05-20;VR01;Groningen;1501;77
2;2022-03-15 09:00:00;2021-05-21;VR01;Groningen;1535;93
2;2022-03-15 09:00:00;2021-05-22;VR01;Groningen;1177;69
2;2022-03-15 09:00:00;2021-05-23;VR01;Groningen;1003;47
2;2022-03-15 09:00:00;2021-05-24;VR01;Groningen;1124;47
2;2022-03-15 09:00:00;2021-05-25;VR01;Groningen;1018;51
2;2022-03-15 09:00:00;2021-05-26;VR01;Groningen;1716;79
2;2022-03-15 09:00:00;2021-05-27;VR01;Groningen;1519;69
2;2022-03-15 09:00:00;2021-05-28;VR01;Groningen;1272;61
2;2022-03-15 09:00:00;2021-05-29;VR01;Groningen;997;41
2;2022-03-15 09:00:00;2021-05-30;VR01;Groningen;1022;52
2;2022-03-15 09:00:00;2021-05-31;VR01;Groningen;1538;58
2;2022-03-15 09:00:00;2021-06-01;VR01;Groningen;1226;56
2;2022-03-15 09:00:00;2021-06-02;VR01;Groningen;1211;65
2;2022-03-15 09:00:00;2021-06-03;VR01;Groningen;1094;59
2;2022-03-15 09:00:00;2021-06-04;VR01;Groningen;941;35
2;2022-03-15 09:00:00;2021-06-05;VR01;Groningen;798;28
2;2022-03-15 09:00:00;2021-06-06;VR01;Groningen;973;35
2;2022-03-15 09:00:00;2021-06-07;VR01;Groningen;1389;42
2;2022-03-15 09:00:00;2021-06-08;VR01;Groningen;1216;15
2;2022-03-15 09:00:00;2021-06-09;VR01;Groningen;1293;27
2;2022-03-15 09:00:00;2021-06-10;VR01;Groningen;1066;20
2;2022-03-15 09:00:00;2021-06-11;VR01;Groningen;946;29
2;2022-03-15 09:00:00;2021-06-12;VR01;Groningen;689;12
2;2022-03-15 09:00:00;2021-06-13;VR01;Groningen;822;10
2;2022-03-15 09:00:00;2021-06-14;VR01;Groningen;1058;12
2;2022-03-15 09:00:00;2021-06-15;VR01;Groningen;1213;14
2;2022-03-15 09:00:00;2021-06-16;VR01;Groningen;998;15
2;2022-03-15 09:00:00;2021-06-17;VR01;Groningen;905;9
2;2022-03-15 09:00:00;2021-06-18;VR01;Groningen;830;23
2;2022-03-15 09:00:00;2021-06-19;VR01;Groningen;796;21
2;2022-03-15 09:00:00;2021-06-20;VR01;Groningen;735;6
2;2022-03-15 09:00:00;2021-06-21;VR01;Groningen;1202;18
2;2022-03-15 09:00:00;2021-06-22;VR01;Groningen;1128;8
